DoubleRing,Phone,QWERTY,SingleRing
8268,8112,7235,9545
1916,1089,1999,2525
4472,6696,6986,5314
9985,13151,7053,11220
7228,5850,5619,6254
6225,6891,6751,6241
4478,4927,3795,6280
882,2743,2712,3535
2639,12160,6227,12126
10689,10837,9051,14777
8776,1230,1430,2495
1505,8258,5830,8556
10870,3470,3534,4500
3430,5693,4488,8563
5680,4558,4526,4950
5298,2467,3102,3601
2737,1070,2568,1769
2804,14383,2087,15955
13070,4975,11870,4351
4265,985,5427,3204
828,1442,1568,1329
2193,4096,897,4591
4257,5631,4366,9982
6476,3790,6398,2760
1919,8134,3419,8432
7928,5921,6371,4168
3085,3459,2557,2652
2784,605,2497,1134
1231,4766,1040,4350
3870,6560,2929,6465
6690,2127,5278,1696
1583,9287,1518,11329
9257,7393,7103,6409
5057,6785,5298,6370
7323,1871,3953,2366
3168,6927,1255,10354
6881,5826,5119,6287
4897,4194,4032,4497
3569,3169,4067,6431
4063,4174,3265,6408
6834,4959,5360,864
854,1633,1568,1422
3172,2319,2062,3050
3265,3857,1784,4940
1970,1353,2068,1391
4749,4431,5520,3885
5163,3903,3233,5363
5052,5592,4289,6900
4644,6435,4397,6437
,,,
4856.714286,5105.795918,4193.897959,5673.938776
