DoubleRing,,Phone,,QWERTY,,SingleRing,
1.42861E+12,45,1.42861E+12,212,1.42861E+12,108,1.42861E+12,99
1.42861E+12,67,1.42861E+12,65,1.42861E+12,145,1.42861E+12,102
1.42861E+12,32,1.42861E+12,115,1.42861E+12,49,1.42861E+12,78
1.42861E+12,78,1.42861E+12,70,1.42861E+12,36,1.42861E+12,159
1.42861E+12,14,1.42861E+12,94,1.42861E+12,91,1.42861E+12,107
1.42861E+12,149,1.42861E+12,96,1.42861E+12,68,1.42861E+12,167
1.42861E+12,30,1.42861E+12,95,1.42861E+12,68,1.42861E+12,52
1.42861E+12,114,1.42861E+12,17,1.42861E+12,93,1.42861E+12,57
1.42861E+12,77,1.42861E+12,25,1.42861E+12,27,1.42861E+12,69
1.42861E+12,25,1.42861E+12,67,1.42861E+12,114,1.42861E+12,231
1.42861E+12,94,1.42861E+12,40,1.42861E+12,35,1.42861E+12,66
1.42861E+12,140,1.42861E+12,21,1.42861E+12,30,1.42861E+12,79
1.42861E+12,88,1.42861E+12,37,1.42861E+12,26,1.42861E+12,133
1.42861E+12,48,1.42861E+12,152,1.42861E+12,36,1.42861E+12,155
1.42861E+12,159,1.42861E+12,76,1.42861E+12,74,1.42861E+12,18
1.42861E+12,75,1.42861E+12,84,1.42861E+12,18,1.42861E+12,38
1.42861E+12,111,1.42861E+12,97,1.42861E+12,89,1.42861E+12,131
1.42861E+12,71,1.42861E+12,137,1.42861E+12,64,1.42861E+12,99
1.42861E+12,106,1.42861E+12,43,1.42861E+12,98,1.42861E+12,72
1.42861E+12,102,1.42861E+12,19,1.42861E+12,71,1.42861E+12,71
1.42861E+12,189,1.42861E+12,84,1.42861E+12,43,1.42861E+12,102
1.42861E+12,67,1.42861E+12,71,1.42861E+12,92,1.42861E+12,21
1.42861E+12,52,1.42861E+12,102,1.42861E+12,59,1.42861E+12,127
1.42861E+12,51,1.42861E+12,132,1.42861E+12,54,1.42861E+12,100
1.42861E+12,51,1.42861E+12,60,1.42861E+12,27,1.42861E+12,223
1.42861E+12,54,1.42861E+12,59,1.42861E+12,74,1.42861E+12,61
1.42861E+12,24,1.42861E+12,24,1.42861E+12,57,1.42861E+12,96
1.42861E+12,101,1.42861E+12,112,1.42861E+12,86,1.42861E+12,144
1.42861E+12,81,1.42861E+12,67,1.42861E+12,111,1.42861E+12,99
1.42861E+12,167,1.42861E+12,109,1.42861E+12,44,1.42861E+12,27
1.42861E+12,84,1.42861E+12,123,1.42861E+12,46,1.42861E+12,29
1.42861E+12,105,1.42861E+12,224,1.42861E+12,182,1.42861E+12,85
1.42861E+12,73,1.42861E+12,110,1.42861E+12,55,1.42861E+12,71
1.42861E+12,44,1.42861E+12,78,1.42861E+12,43,1.42861E+12,40
1.42861E+12,30,1.42861E+12,85,1.42861E+12,114,1.42861E+12,22
1.42861E+12,77,1.42861E+12,32,1.42861E+12,86,1.42861E+12,49
1.42861E+12,44,1.42861E+12,82,1.42861E+12,15,1.42861E+12,58
1.42861E+12,64,1.42861E+12,29,1.42861E+12,95,1.42861E+12,99
1.42861E+12,132,1.42861E+12,111,1.42861E+12,106,1.42861E+12,94
1.42861E+12,125,1.42861E+12,133,1.42861E+12,83,1.42861E+12,98
1.42861E+12,56,1.42861E+12,196,1.42861E+12,116,1.42861E+12,180
1.42861E+12,68,1.42861E+12,177,1.42861E+12,65,1.42861E+12,40
1.42861E+12,13,1.42861E+12,48,1.42861E+12,25,1.42861E+12,81
1.42861E+12,20,1.42861E+12,115,1.42861E+12,34,1.42861E+12,42
1.42861E+12,61,1.42861E+12,19,1.42861E+12,52,1.42861E+12,69
1.42861E+12,120,1.42861E+12,100,1.42861E+12,21,1.42861E+12,43
1.42861E+12,35,1.42861E+12,10,1.42861E+12,102,1.42861E+12,171
1.42861E+12,14,1.42861E+12,72,1.42861E+12,74,1.42861E+12,14
1.42861E+12,42,1.42861E+12,54,1.42861E+12,75,1.42861E+12,23
,63.1,1.42861E+12,85.6,1.42861E+12,79.9,1.42861E+12,112.1
,77.8974359,1.42861E+12,85.23076923,1.42861E+12,66.07692308,1.42861E+12,81.28205128
